"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m71689920285","2017-05-11","","2017-05-14","Ted Baker Mirrie Dress Sz 10 NWT","Completed","Arizona","California","150.00","6.00","0.00","15.00","0.00","0.00","0.00","135.00","0.00","0.00","0.00","0.00","0.00"
"m20378130010","2020-03-08","","2020-03-12","Twelve Scenrbird Perfumes","Completed","Iowa","California","30.00","4.99","0.00","3.00","0.00","0.00","0.00","27.00","2.10","0.00","0.00","0.00","0.00"
"m51891777986","2020-03-08","","2020-03-12","Ted Baker Cosmetic Bag, Beauty Products","Completed","Washington","California","20.00","0.00","4.99","0.00","0.00","0.00","0.00","15.01","1.72","0.00","0.00","0.00","0.00"
"m27016832358","2020-03-10","","2020-03-14","Zara Ruffled Blouse M","Completed","North Carolina","California","22.00","0.00","4.99","2.20","0.00","0.00","0.00","14.81","0.00","0.00","0.00","0.00","0.00"
"m53818323221","2020-03-12","","2020-03-14","Black Opium Dry Oil for Hair and Body","Completed","California","California","21.00","4.99","0.00","2.10","0.00","0.00","0.00","18.90","1.73","0.00","0.00","0.00","0.00"
"m87685464403","2020-03-11","","2020-03-17","Flying Tomato Faux Wrap Top S","Completed","Utah","California","19.00","4.25","0.00","1.90","0.00","0.00","0.00","17.10","1.38","0.00","0.00","0.00","0.00"
"m84958093420","2020-03-15","","2020-03-21","American Living Blue Dress Sz 4 NWT","Completed","Michigan","California","16.00","4.99","0.00","1.60","0.00","0.00","0.00","14.40","0.00","0.00","0.00","0.00","0.00"
"m33345719634","2020-03-15","","2020-03-22","Dolce and Gabbana Dolce Garden Set","Completed","Pennsylvania","California","90.00","9.55","0.00","9.00","0.00","0.00","0.00","81.00","5.98","0.00","0.00","0.00","0.00"
"m42684762448","2020-03-21","","2020-03-25","Maggy London Bodycon Midi Dress","Completed","Pennsylvania","California","13.00","4.99","0.00","1.30","0.00","0.00","0.00","11.70","0.00","0.00","0.00","0.00","0.00"
"m16555961246","2020-03-21","","2020-03-26","Marc Jacobs Decadence Eau De Parfum","Completed","Maryland","California","43.00","4.99","0.00","4.30","0.00","0.00","0.00","38.70","2.58","0.00","0.00","0.00","0.00"
"m57391238275","2020-03-22","","2020-03-27","Jo Malone Fragrance Spray Set","Completed","Minnesota","California","43.00","4.99","0.00","4.30","0.00","0.00","0.00","38.70","3.54","0.00","0.00","0.00","0.00"
"m53090405248","2020-03-24","","2020-03-27","REPLICA Filter Glow","Completed","California","California","36.00","0.00","4.99","3.60","0.00","0.00","0.00","27.41","2.79","0.00","0.00","0.00","0.00"
"m80730912932","2020-03-24","","2020-03-27","Wisdom of the Oracle Cards","Completed","West Virginia","California","15.00","4.99","0.00","1.50","0.00","0.00","0.00","13.50","1.20","0.00","0.00","0.00","0.00"
